magX,magY,magZ,magX_calibrated,magY_calibrated,theta_absolute,magX_mean,magY_mean,theta_absolute_lowPass
-19.699,-396.167,-70.875,-1.6037264150943398,0.521277533039649,-18.00630875400559,-0.32074528301886795,0.10425550660792979,-18.00630875400559
-20.231,-394.92,-70.703,-1.6288207547169815,0.576211453744493,-19.481736965557225,-0.6465094339622642,0.2194977973568284,-18.752973311025006
-20.054,-394.03,-71.218,-1.6204716981132075,0.6154185022026447,-20.79564464307471,-0.9706037735849058,0.3425814977973573,-19.4408463574399
-20.054,-395.099,-73.964,-1.6204716981132075,0.5683259911894281,-19.32660497495061,-1.2946981132075472,0.4562466960352429,-19.41226401280981
-20.054,-396.167,-72.934,-1.6204716981132075,0.521277533039649,-17.832079257535874,-1.618792452830189,0.5605022026431727,-19.098263528221498
-21.473,-395.455,-73.621,-1.6874056603773584,0.5526431718061684,-18.13416783420745,-1.6355283018867925,0.5667753303964765,-19.11322697833033
-19.876,-395.277,-73.449,-1.6120754716981134,0.5604845814977982,-19.171483215950207,-1.6321792452830188,0.5636299559471377,-19.05099972903127
-20.054,-394.742,-73.277,-1.6204716981132075,0.5840528634361228,-19.82025361168417,-1.6321792452830188,0.5573568281938333,-18.854017960967088
-19.344,-395.811,-74.65,-1.586981132075472,0.5369603524229087,-18.69342002587975,-1.6254811320754718,0.5510837004405295,-18.72810040422301
-20.764,-394.742,-71.905,-1.6539622641509435,0.5840528634361228,-19.4493210604469,-1.6321792452830188,0.5636387665198243,-19.05127606137972
-20.941,-395.633,-73.106,-1.662311320754717,0.5448017621145386,-18.145910352713063,-1.6271603773584906,0.5620704845814982,-19.056463044739967
-20.231,-395.277,-74.135,-1.6288207547169815,0.5604845814977982,-18.988571689181114,-1.630509433962264,0.5620704845814982,-19.020136658511227
-20.586,-395.989,-74.135,-1.645566037735849,0.5291189427312789,-17.82479009931995,-1.6355283018867925,0.5510837004405295,-18.62100593132726
-20.941,-396.345,-74.479,-1.662311320754717,0.5134361233480167,-17.164287392240457,-1.6505943396226417,0.546378854625551,-18.31554869290665
-20.231,-395.989,-72.763,-1.6288207547169815,0.5291189427312789,-17.99627724163851,-1.6455660377358492,0.5353920704845823,-18.022522903995338
-20.054,-395.811,-72.934,-1.6204716981132075,0.5369603524229087,-18.333158447184978,-1.6371981132075473,0.5338237885462563,-18.05904334919028
-20.764,-397.235,-71.905,-1.6539622641509435,0.4742290748898675,-15.998816515495776,-1.6422264150943398,0.5165726872246701,-17.461297764195464
-18.811,-397.057,-74.822,-1.5618396226415097,0.4820704845814973,-17.15313242765495,-1.6254811320754718,0.5071629955947138,-17.328335579898265
-20.054,-396.523,-73.277,-1.6204716981132075,0.5055947136563869,-17.328164846800863,-1.61711320754717,0.5055947136563879,-17.361991841457332
-19.521,-394.92,-72.419,-1.5953301886792453,0.576211453744493,-19.859026768524583,-1.6104150943396227,0.5150132158590306,-17.734355969001726
-19.344,-395.455,-71.561,-1.586981132075472,0.5526431718061684,-19.19993144376737,-1.6037169811320755,0.5181497797356827,-17.90528317203535
-20.231,-394.92,-73.449,-1.6288207547169815,0.576211453744493,-19.481736965557225,-1.5986886792452832,0.5385462555066076,-18.616998640532586
-19.876,-393.852,-71.39,-1.6120754716981134,0.6232599118942745,-21.13747687763471,-1.608735849056604,0.5667841409691631,-19.40820048690753
